λ,d
380,100
381,99.97589248
382,99.95179936
383,99.92772073
384,99.90365671
385,99.87960738
386,99.85557284
387,99.8315532
388,99.80754856
389,99.78355901
390,99.75958466
391,99.73562561
392,99.71168195
393,99.68775379
394,99.66384122
395,99.63994435
396,99.61606328
397,99.5921981
398,99.56834891
399,99.54451582
400,99.52069892
401,99.49689832
402,99.47311412
403,99.44934641
404,99.42559529
405,99.40186087
406,99.37814324
407,99.3544425
408,99.33075876
409,99.30709212
410,99.28344267
411,99.25981051
412,99.23619574
413,99.21259847
414,99.18901879
415,99.1654568
416,99.14191261
417,99.11838631
418,99.09487801
419,99.07138779
420,99.04791577
421,99.02446204
422,99.00102671
423,98.97760986
424,98.95421161
425,98.93083205
426,98.90747128
427,98.8841294
428,98.86080652
429,98.83750273
430,98.81421813
431,98.79095282
432,98.7677069
433,98.74448047
434,98.72127363
435,98.69808648
436,98.67491913
437,98.65177166
438,98.62864419
439,98.60553681
440,98.58244961
441,98.55938271
442,98.5363362
443,98.51331017
444,98.49030474
445,98.46732
446,98.44435604
447,98.42141298
448,98.3984909
449,98.37558992
450,98.35271012
451,98.32985161
452,98.30701449
453,98.28419886
454,98.26140482
455,98.23863247
456,98.2158819
457,98.19315323
458,98.17044654
459,98.14776194
460,98.12509953
461,98.10245941
462,98.07984167
463,98.05724642
464,98.03467376
465,98.01212379
466,97.9895966
467,97.9670923
468,97.94461099
469,97.92215276
470,97.89971772
471,97.87730597
472,97.85491761
473,97.83255273
474,97.81021144
475,97.78789383
476,97.76560001
477,97.74333008
478,97.72108413
479,97.69886227
480,97.67666459
481,97.6544912
482,97.6323422
483,97.61021768
484,97.58811774
485,97.56604249
486,97.54399203
487,97.52196645
488,97.49996585
489,97.47799034
490,97.45604002
491,97.43411497
492,97.41221532
493,97.39034114
494,97.36849256
495,97.34666965
496,97.32487253
497,97.30310129
498,97.28135604
499,97.25963687
500,97.23794388
501,97.21627718
502,97.19463686
503,97.17302302
504,97.15143576
505,97.12987519
506,97.1083414
507,97.0868345
508,97.06535457
509,97.04390173
510,97.02247607
511,97.00107769
512,96.9797067
513,96.95836318
514,96.93704725
515,96.915759
516,96.89449853
517,96.87326594
518,96.85206134
519,96.83088481
520,96.80973647
521,96.7886164
522,96.76752472
523,96.74646152
524,96.7254269
525,96.70442096
526,96.6834438
527,96.66249552
528,96.64157622
529,96.620686
530,96.59982496
531,96.5789932
532,96.55819082
533,96.53741792
534,96.5166746
535,96.49596096
536,96.47527709
537,96.45462311
538,96.4339991
539,96.41340518
540,96.39284143
541,96.37230796
542,96.35180487
543,96.33133226
544,96.31089023
545,96.29047887
546,96.27009829
547,96.2497486
548,96.22942987
549,96.20914223
550,96.18888576
551,96.16866058
552,96.14846676
553,96.12830443
554,96.10817367
555,96.08807459
556,96.06800729
557,96.04797186
558,96.02796841
559,96.00799704
560,95.98805785
561,95.96815093
562,95.94827638
563,95.92843431
564,95.90862482
565,95.888848
566,95.86910396
567,95.8493928
568,95.82971461
569,95.8100695
570,95.79045756
571,95.77087889
572,95.75133361
573,95.73182179
574,95.71234355
575,95.69289899
576,95.6734882
577,95.65411129
578,95.63476835
579,95.61545948
580,95.59618479
581,95.57694437
582,95.55773832
583,95.53856675
584,95.51942976
585,95.50032743
586,95.48125988
587,95.46222721
588,95.4432295
589,95.42426687
590,95.40533942
591,95.38644723
592,95.36759042
593,95.34876908
594,95.32998331
595,95.31123322
596,95.2925189
597,95.27384045
598,95.25519797
599,95.23659156
600,95.21802133
601,95.19948737
602,95.18098978
603,95.16252866
604,95.14410411
605,95.12571623
606,95.10736513
607,95.08905089
608,95.07077363
609,95.05253344
610,95.03433042
611,95.01616466
612,94.99803628
613,94.97994537
614,94.96189203
615,94.94387636
616,94.92589846
617,94.90795843
618,94.89005637
619,94.87219238
620,94.85436655
621,94.836579
622,94.81882982
623,94.8011191
624,94.78344696
625,94.76581348
626,94.74821877
627,94.73066294
628,94.71314607
629,94.69566826
630,94.67822963
631,94.66083027
632,94.64347027
633,94.62614974
634,94.60886878
635,94.59162749
636,94.57442596
637,94.5572643
638,94.54014261
639,94.52306099
640,94.50601953
641,94.48901834
642,94.47205752
643,94.45513716
644,94.43825738
645,94.42141825
646,94.4046199
647,94.38786241
648,94.37114589
649,94.35447043
650,94.33783614
651,94.32124311
652,94.30469145
653,94.28818126
654,94.27171263
655,94.25528567
656,94.23890047
657,94.22255714
658,94.20625578
659,94.18999647
660,94.17377934
661,94.15760447
662,94.14147196
663,94.12538192
664,94.10933444
665,94.09332962
666,94.07736757
667,94.06144839
668,94.04557217
669,94.02973901
670,94.01394901
671,93.99820228
672,93.98249892
673,93.96683901
674,93.95122267
675,93.93564999
676,93.92012108
677,93.90463603
678,93.88919494
679,93.87379791
680,93.85844505
681,93.84313645
682,93.82787221
683,93.81265243
684,93.79747722
685,93.78234667
686,93.76726088
687,93.75221995
688,93.73722398
689,93.72227308
690,93.70736733
691,93.69250685
692,93.67769173
693,93.66292207
694,93.64819797
695,93.63351953
696,93.61888685
697,93.60430003
698,93.58975918
699,93.57526438
700,93.56081574
701,93.54641337
702,93.53205735
703,93.5177478
704,93.5034848
705,93.48926846
706,93.47509889
707,93.46097617
708,93.44690041
709,93.43287171
710,93.41889017
711,93.40495589
712,93.39106897
713,93.3772295
714,93.3634376
715,93.34969335
716,93.33599687
717,93.32234824
718,93.30874756
719,93.29519495
720,93.2816905
721,93.2682343
722,93.25482646
723,93.24146708
724,93.22815625
725,93.21489408
726,93.20168067
727,93.18851612
728,93.17540053
729,93.16233399
730,93.1493166
731,93.13634848
732,93.12342971
733,93.1105604
734,93.09774064
735,93.08497054
736,93.0722502
737,93.05957971
738,93.04695918
739,93.0343887
740,93.02186838
741,93.00939832
742,92.99697861
743,92.98460935
744,92.97229065
745,92.96002261
746,92.94780532
747,92.93563888
748,92.9235234
749,92.91145898
750,92.89944571
